county,precinct,office,district,candidate,party,total,election_day,early_voting,av_counting_boards,votes
Lake,"Peacock Township, Precinct 10",Governor of Wayne State University,,Sami Makhoul,Green,1,1,0,0,1
Lake,"Peacock Township, Precinct 10",Governor of Wayne State University,,Suzanne Roehrig,Working Class,11,9,2,0,11
Lake,"Peacock Township, Precinct 10",Governor of Wayne State University,,Kathleen Oakford,Natural Law,3,2,1,0,3
Lake,"Peacock Township, Precinct 10",Governor of Wayne State University,,Write-in,,1,1,0,0,1
Lake,"Peacock Township, Precinct 10",Governor of Wayne State University,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",Governor of Wayne State University,,Under Vote Count,,105,87,18,0,105
Lake,"Peacock Township, Precinct 10",County Prosecuting Attorney,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",County Prosecuting Attorney,,Gregory T. Mick,No Party Affiliation,107,89,18,0,107
Lake,"Peacock Township, Precinct 10",County Prosecuting Attorney,,Al Swanson,No Party Affiliation,82,70,12,0,82
Lake,"Peacock Township, Precinct 10",County Prosecuting Attorney,,Write-in,,4,4,0,0,4
Lake,"Peacock Township, Precinct 10",County Prosecuting Attorney,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",County Prosecuting Attorney,,Under Vote Count,,122,93,29,0,122
Lake,"Peacock Township, Precinct 10",County Sheriff,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",County Sheriff,,Rich Martin,Republican,224,178,46,0,224
Lake,"Peacock Township, Precinct 10",County Sheriff,,Joseph Umbreit,No Party Affiliation,52,44,8,0,52
Lake,"Peacock Township, Precinct 10",County Sheriff,,Write-in,,2,2,0,0,2
Lake,"Peacock Township, Precinct 10",County Sheriff,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",County Sheriff,,Under Vote Count,,37,32,5,0,37
Lake,"Peacock Township, Precinct 10",County Clerk and Register of Deeds,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",County Clerk and Register of Deeds,,Patti Pacola,Republican,236,186,50,0,236
Lake,"Peacock Township, Precinct 10",County Clerk and Register of Deeds,,Ryan Weston Ducati,No Party Affiliation,32,30,2,0,32
Lake,"Peacock Township, Precinct 10",County Clerk and Register of Deeds,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",County Clerk and Register of Deeds,,Under Vote Count,,47,40,7,0,47
Lake,"Peacock Township, Precinct 10",County Treasurer,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",County Treasurer,,Kellie Allen,Republican,241,192,49,0,241
Lake,"Peacock Township, Precinct 10",County Treasurer,,Write-in,,2,2,0,0,2
Lake,"Peacock Township, Precinct 10",County Treasurer,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",County Treasurer,,Under Vote Count,,72,62,10,0,72
Lake,"Peacock Township, Precinct 10",County Road Commissioner,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",County Road Commissioner,,Jim Fri,Democrat,82,71,11,0,82
Lake,"Peacock Township, Precinct 10",County Road Commissioner,,Don Divis,Republican,210,165,45,0,210
Lake,"Peacock Township, Precinct 10",County Road Commissioner,,Write-in,,1,1,0,0,1
Lake,"Peacock Township, Precinct 10",County Road Commissioner,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",County Road Commissioner,,Under Vote Count,,22,19,3,0,22
Lake,"Peacock Township, Precinct 10",County Surveyor,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",County Surveyor,,Patrick Johnson,Republican,242,193,49,0,242
Lake,"Peacock Township, Precinct 10",County Surveyor,,Write-in,,2,2,0,0,2
Lake,"Peacock Township, Precinct 10",County Surveyor,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",County Surveyor,,Under Vote Count,,71,61,10,0,71
Lake,"Peacock Township, Precinct 10",County Commissioner 1st District,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",County Commissioner 1st District,,Bob Sanders,Republican,244,194,50,0,244
Lake,"Peacock Township, Precinct 10",County Commissioner 1st District,,Write-in,,4,4,0,0,4
Lake,"Peacock Township, Precinct 10",County Commissioner 1st District,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",County Commissioner 1st District,,Under Vote Count,,67,58,9,0,67
Lake,"Peacock Township, Precinct 10",Peacock Township Supervisor,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",Peacock Township Supervisor,,Luann Parker,Republican,244,195,49,0,244
Lake,"Peacock Township, Precinct 10",Peacock Township Supervisor,,Write-in,,2,2,0,0,2
Lake,"Peacock Township, Precinct 10",Peacock Township Supervisor,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",Peacock Township Supervisor,,Under Vote Count,,69,59,10,0,69
Lake,"Peacock Township, Precinct 10",Peacock Township Clerk,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",Peacock Township Clerk,,Ann Thomas,Republican,238,191,47,0,238
Lake,"Peacock Township, Precinct 10",Peacock Township Clerk,,Write-in,,4,3,1,0,4
Lake,"Peacock Township, Precinct 10",Peacock Township Clerk,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",Peacock Township Clerk,,Under Vote Count,,73,62,11,0,73
Lake,"Peacock Township, Precinct 10",Peacock Township Treasurer,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",Peacock Township Treasurer,,Laura Hepler,Republican,245,194,51,0,245
Lake,"Peacock Township, Precinct 10",Peacock Township Treasurer,,Write-in,,2,2,0,0,2
Lake,"Peacock Township, Precinct 10",Peacock Township Treasurer,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",Peacock Township Treasurer,,Under Vote Count,,68,60,8,0,68
Lake,"Peacock Township, Precinct 10",Peacock Township Trustee,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",Peacock Township Trustee,,Kim Plummer,Democrat,93,80,13,0,93
Lake,"Peacock Township, Precinct 10",Peacock Township Trustee,,Shirley Blackler,Republican,182,144,38,0,182
Lake,"Peacock Township, Precinct 10",Peacock Township Trustee,,Justine Schram,Republican,180,141,39,0,180
Lake,"Peacock Township, Precinct 10",Peacock Township Trustee,,John E. Smith,No Party Affiliation,68,57,11,0,68
Lake,"Peacock Township, Precinct 10",Peacock Township Trustee,,Write-in,,1,1,0,0,1
Lake,"Peacock Township, Precinct 10",Peacock Township Trustee,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",Peacock Township Trustee,,Under Vote Count,,106,89,17,0,106
Lake,"Peacock Township, Precinct 10",Justice of Supreme Court,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",Justice of Supreme Court,,Andrew Fink,,116,90,26,0,116
Lake,"Peacock Township, Precinct 10",Justice of Supreme Court,,Kimberly Ann Thomas,,107,97,10,0,107
Lake,"Peacock Township, Precinct 10",Justice of Supreme Court,,Write-in,,4,4,0,0,4
Lake,"Peacock Township, Precinct 10",Justice of Supreme Court,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",Justice of Supreme Court,,Under Vote Count,,88,65,23,0,88
Lake,"Peacock Township, Precinct 10",Justice of Supreme Court Partial Term,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",Justice of Supreme Court Partial Term,,Kyra Harris Bolden,,112,103,9,0,112
Lake,"Peacock Township, Precinct 10",Justice of Supreme Court Partial Term,,Patrick William O'Grady,,115,88,27,0,115
Lake,"Peacock Township, Precinct 10",Justice of Supreme Court Partial Term,,Write-in,,4,4,0,0,4
Lake,"Peacock Township, Precinct 10",Justice of Supreme Court Partial Term,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",Justice of Supreme Court Partial Term,,Under Vote Count,,84,61,23,0,84
Lake,"Peacock Township, Precinct 10",Judge of Court of Appeals 4th District 6 Year Term,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",Judge of Court of Appeals 4th District 6 Year Term,,Stephen L. Borrello,,182,155,27,0,182
Lake,"Peacock Township, Precinct 10",Judge of Court of Appeals 4th District 6 Year Term,,Write-in,,5,4,1,0,5
Lake,"Peacock Township, Precinct 10",Judge of Court of Appeals 4th District 6 Year Term,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",Judge of Court of Appeals 4th District 6 Year Term,,Under Vote Count,,128,97,31,0,128
Lake,"Peacock Township, Precinct 10",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Allie Greenleaf Maldonado,,180,155,25,0,180
Lake,"Peacock Township, Precinct 10",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Write-in,,5,4,1,0,5
Lake,"Peacock Township, Precinct 10",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Under Vote Count,,130,97,33,0,130
Lake,"Peacock Township, Precinct 10",Judge of Probate Court,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",Judge of Probate Court,,Floyd Brown,,87,76,11,0,87
Lake,"Peacock Township, Precinct 10",Judge of Probate Court,,David M. Glancy,,152,126,26,0,152
Lake,"Peacock Township, Precinct 10",Judge of Probate Court,,Write-in,,3,3,0,0,3
Lake,"Peacock Township, Precinct 10",Judge of Probate Court,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",Judge of Probate Court,,Under Vote Count,,73,51,22,0,73
Lake,"Peacock Township, Precinct 10",Baldwin Community School District Board Member,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",Baldwin Community School District Board Member,,Katena Abraham,,121,102,19,0,121
Lake,"Peacock Township, Precinct 10",Baldwin Community School District Board Member,,Marion Carter Jr.,,114,96,18,0,114
Lake,"Peacock Township, Precinct 10",Baldwin Community School District Board Member,,Mary Ann Martin,,140,115,25,0,140
Lake,"Peacock Township, Precinct 10",Baldwin Community School District Board Member,,David VanHorn,,143,121,22,0,143
Lake,"Peacock Township, Precinct 10",Baldwin Community School District Board Member,,Write-in,,11,7,4,0,11
Lake,"Peacock Township, Precinct 10",Baldwin Community School District Board Member,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",Baldwin Community School District Board Member,,Under Vote Count,,731,583,148,0,731
Lake,"Peacock Township, Precinct 10",Baldwin Community School District Board Member - Partial Term,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",Baldwin Community School District Board Member - Partial Term,,Write-in,,37,31,6,0,37
Lake,"Peacock Township, Precinct 10",Baldwin Community School District Board Member - Partial Term,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",Baldwin Community School District Board Member - Partial Term,,Under Vote Count,,278,225,53,0,278
Lake,"Peacock Township, Precinct 10",Lake County Veterans Affairs Proposal,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",Lake County Veterans Affairs Proposal,,Yes,,201,163,38,0,201
Lake,"Peacock Township, Precinct 10",Lake County Veterans Affairs Proposal,,No,,88,75,13,0,88
Lake,"Peacock Township, Precinct 10",Lake County Veterans Affairs Proposal,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",Lake County Veterans Affairs Proposal,,Under Vote Count,,26,18,8,0,26
Lake,"Peacock Township, Precinct 10",Lake County Emergency Medical Services Millage Proposal,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",Lake County Emergency Medical Services Millage Proposal,,Yes,,206,174,32,0,206
Lake,"Peacock Township, Precinct 10",Lake County Emergency Medical Services Millage Proposal,,No,,80,61,19,0,80
Lake,"Peacock Township, Precinct 10",Lake County Emergency Medical Services Millage Proposal,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",Lake County Emergency Medical Services Millage Proposal,,Under Vote Count,,29,21,8,0,29
Lake,"Peacock Township, Precinct 10",Peacock Township Operating Millage Proposal,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",Peacock Township Operating Millage Proposal,,Yes,,115,98,17,0,115
Lake,"Peacock Township, Precinct 10",Peacock Township Operating Millage Proposal,,No,,175,141,34,0,175
Lake,"Peacock Township, Precinct 10",Peacock Township Operating Millage Proposal,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",Peacock Township Operating Millage Proposal,,Under Vote Count,,25,17,8,0,25
Lake,"Peacock Township, Precinct 10",Baldwin Community School Safety Bond Proposal,,Ballots Cast,,315,256,59,0,315
Lake,"Peacock Township, Precinct 10",Baldwin Community School Safety Bond Proposal,,Yes,,105,86,19,0,105
Lake,"Peacock Township, Precinct 10",Baldwin Community School Safety Bond Proposal,,No,,184,153,31,0,184
Lake,"Peacock Township, Precinct 10",Baldwin Community School Safety Bond Proposal,,Over Vote Count,,0,0,0,0,0
Lake,"Peacock Township, Precinct 10",Baldwin Community School Safety Bond Proposal,,Under Vote Count,,26,17,9,0,26
Lake,"Pinora Township, Precinct 11",President,,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",President,,Kamala D. Harris,Democrat,111,102,9,0,111
Lake,"Pinora Township, Precinct 11",President,,Donald J. Trump,Republican,350,312,38,0,350
Lake,"Pinora Township, Precinct 11",President,,Chase Oliver,Libertarian,1,1,0,0,1
Lake,"Pinora Township, Precinct 11",President,,"Robert F. Kennedy, Jr.",Natural Law,2,2,0,0,2
Lake,"Pinora Township, Precinct 11",President,,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",President,,Under Vote Count,,1,1,0,0,1
Lake,"Pinora Township, Precinct 11",U.S. Senate,,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",U.S. Senate,,Elissa Slotkin,Democrat,113,103,10,0,113
Lake,"Pinora Township, Precinct 11",U.S. Senate,,Mike Rogers,Republican,330,295,35,0,330
Lake,"Pinora Township, Precinct 11",U.S. Senate,,Joseph Solis-Mullen,Libertarian,2,2,0,0,2
Lake,"Pinora Township, Precinct 11",U.S. Senate,,Douglas P. Marsh,Green,3,3,0,0,3
Lake,"Pinora Township, Precinct 11",U.S. Senate,,Doug Dern,Natural Law,5,4,1,0,5
Lake,"Pinora Township, Precinct 11",U.S. Senate,,Write-in,,1,1,0,0,1
Lake,"Pinora Township, Precinct 11",U.S. Senate,,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",U.S. Senate,,Under Vote Count,,11,10,1,0,11
Lake,"Pinora Township, Precinct 11",U.S. House,2,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",U.S. House,2,Michael Lynch,Democrat,105,96,9,0,105
Lake,"Pinora Township, Precinct 11",U.S. House,2,John R. Moolenaar,Republican,333,296,37,0,333
Lake,"Pinora Township, Precinct 11",U.S. House,2,Ben DeJong,Libertarian,5,5,0,0,5
Lake,"Pinora Township, Precinct 11",U.S. House,2,Scott Adams,U.S. Taxpayers,5,5,0,0,5
Lake,"Pinora Township, Precinct 11",U.S. House,2,Write-in,,2,2,0,0,2
Lake,"Pinora Township, Precinct 11",U.S. House,2,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",U.S. House,2,Under Vote Count,,15,14,1,0,15
Lake,"Pinora Township, Precinct 11",State House,100,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",State House,100,Tracy Ruell,Democrat,110,101,9,0,110
Lake,"Pinora Township, Precinct 11",State House,100,Tom Kunse,Republican,339,302,37,0,339
Lake,"Pinora Township, Precinct 11",State House,100,Write-in,,2,2,0,0,2
Lake,"Pinora Township, Precinct 11",State House,100,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",State House,100,Under Vote Count,,14,13,1,0,14
Lake,"Pinora Township, Precinct 11",Member of the State Board of Education,,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",Member of the State Board of Education,,Theodore Jones,Democrat,98,90,8,0,98
Lake,"Pinora Township, Precinct 11",Member of the State Board of Education,,Adam Frederick Zemke,Democrat,95,87,8,0,95
Lake,"Pinora Township, Precinct 11",Member of the State Board of Education,,Tom McMillin,Republican,306,273,33,0,306
Lake,"Pinora Township, Precinct 11",Member of the State Board of Education,,Nikki Snyder,Republican,295,261,34,0,295
Lake,"Pinora Township, Precinct 11",Member of the State Board of Education,,Scotty Boman,Libertarian,11,9,2,0,11
Lake,"Pinora Township, Precinct 11",Member of the State Board of Education,,Ted Gerrard,U.S. Taxpayers,4,4,0,0,4
Lake,"Pinora Township, Precinct 11",Member of the State Board of Education,,Christine C. Schwartz,U.S. Taxpayers,8,8,0,0,8
Lake,"Pinora Township, Precinct 11",Member of the State Board of Education,,Mary Anne Hering,Working Class,17,17,0,0,17
Lake,"Pinora Township, Precinct 11",Member of the State Board of Education,,Write-in,,2,2,0,0,2
Lake,"Pinora Township, Precinct 11",Member of the State Board of Education,,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",Member of the State Board of Education,,Under Vote Count,,94,85,9,0,94
Lake,"Pinora Township, Precinct 11",Regent of the University of Michigan,,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",Regent of the University of Michigan,,Denise Ilitch,Democrat,102,95,7,0,102
Lake,"Pinora Township, Precinct 11",Regent of the University of Michigan,,Shauna Ryder Diggs,Democrat,92,85,7,0,92
Lake,"Pinora Township, Precinct 11",Regent of the University of Michigan,,Carl Meyers,Republican,321,286,35,0,321
Lake,"Pinora Township, Precinct 11",Regent of the University of Michigan,,Sevag Vartanian,Republican,275,245,30,0,275
Lake,"Pinora Township, Precinct 11",Regent of the University of Michigan,,Andrew Chadderdon,Libertarian,16,13,3,0,16
Lake,"Pinora Township, Precinct 11",Regent of the University of Michigan,,Donna M. Oetman,U.S. Taxpayers,16,13,3,0,16
Lake,"Pinora Township, Precinct 11",Regent of the University of Michigan,,Write-in,,2,2,0,0,2
Lake,"Pinora Township, Precinct 11",Regent of the University of Michigan,,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",Regent of the University of Michigan,,Under Vote Count,,106,97,9,0,106
Lake,"Pinora Township, Precinct 11",Trustee of Michigan State University,,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",Trustee of Michigan State University,,Rebecca Bahar-Cook,Democrat,102,94,8,0,102
Lake,"Pinora Township, Precinct 11",Trustee of Michigan State University,,Thomas Stallworth III,Democrat,88,81,7,0,88
Lake,"Pinora Township, Precinct 11",Trustee of Michigan State University,,Mike Balow,Republican,311,276,35,0,311
Lake,"Pinora Township, Precinct 11",Trustee of Michigan State University,,Julie Maday,Republican,295,262,33,0,295
Lake,"Pinora Township, Precinct 11",Trustee of Michigan State University,,Grant T. Baker,Libertarian,8,7,1,0,8
Lake,"Pinora Township, Precinct 11",Trustee of Michigan State University,,Janet M. Sanger,U.S. Taxpayers,9,9,0,0,9
Lake,"Pinora Township, Precinct 11",Trustee of Michigan State University,,John Paul Sanger,U.S. Taxpayers,6,6,0,0,6
Lake,"Pinora Township, Precinct 11",Trustee of Michigan State University,,John Anthony La Pietra,Green,5,5,0,0,5
Lake,"Pinora Township, Precinct 11",Trustee of Michigan State University,,Write-in,,2,2,0,0,2
Lake,"Pinora Township, Precinct 11",Trustee of Michigan State University,,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",Trustee of Michigan State University,,Under Vote Count,,104,94,10,0,104
Lake,"Pinora Township, Precinct 11",Governor of Wayne State University,,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",Governor of Wayne State University,,Rasha Demashkieh,Democrat,92,85,7,0,92
Lake,"Pinora Township, Precinct 11",Governor of Wayne State University,,Mark T. Gaffney,Democrat,94,86,8,0,94
Lake,"Pinora Township, Precinct 11",Governor of Wayne State University,,Michael Busuito,Republican,301,267,34,0,301
Lake,"Pinora Township, Precinct 11",Governor of Wayne State University,,Sunny Reddy,Republican,293,262,31,0,293
Lake,"Pinora Township, Precinct 11",Governor of Wayne State University,,Farid Ishac,Libertarian,3,3,0,0,3
Lake,"Pinora Township, Precinct 11",Governor of Wayne State University,,William Mohr II,U.S. Taxpayers,3,3,0,0,3
Lake,"Pinora Township, Precinct 11",Governor of Wayne State University,,Suzanne Roehrig,Working Class,19,17,2,0,19
Lake,"Pinora Township, Precinct 11",Governor of Wayne State University,,Kathleen Oakford,Natural Law,7,7,0,0,7
Lake,"Pinora Township, Precinct 11",Governor of Wayne State University,,Write-in,,3,3,0,0,3
Lake,"Pinora Township, Precinct 11",Governor of Wayne State University,,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",Governor of Wayne State University,,Under Vote Count,,115,103,12,0,115
Lake,"Pinora Township, Precinct 11",County Prosecuting Attorney,,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",County Prosecuting Attorney,,Gregory T. Mick,No Party Affiliation,120,109,11,0,120
Lake,"Pinora Township, Precinct 11",County Prosecuting Attorney,,Al Swanson,No Party Affiliation,137,117,20,0,137
Lake,"Pinora Township, Precinct 11",County Prosecuting Attorney,,Write-in,,5,4,1,0,5
Lake,"Pinora Township, Precinct 11",County Prosecuting Attorney,,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",County Prosecuting Attorney,,Under Vote Count,,203,188,15,0,203
Lake,"Pinora Township, Precinct 11",County Sheriff,,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",County Sheriff,,Rich Martin,Republican,340,306,34,0,340
Lake,"Pinora Township, Precinct 11",County Sheriff,,Joseph Umbreit,No Party Affiliation,73,66,7,0,73
Lake,"Pinora Township, Precinct 11",County Sheriff,,Write-in,,7,6,1,0,7
Lake,"Pinora Township, Precinct 11",County Sheriff,,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",County Sheriff,,Under Vote Count,,45,40,5,0,45
Lake,"Pinora Township, Precinct 11",County Clerk and Register of Deeds,,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",County Clerk and Register of Deeds,,Patti Pacola,Republican,357,318,39,0,357
Lake,"Pinora Township, Precinct 11",County Clerk and Register of Deeds,,Ryan Weston Ducati,No Party Affiliation,50,48,2,0,50
Lake,"Pinora Township, Precinct 11",County Clerk and Register of Deeds,,Write-in,,3,2,1,0,3
Lake,"Pinora Township, Precinct 11",County Clerk and Register of Deeds,,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",County Clerk and Register of Deeds,,Under Vote Count,,55,50,5,0,55
Lake,"Pinora Township, Precinct 11",County Treasurer,,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",County Treasurer,,Kellie Allen,Republican,370,330,40,0,370
Lake,"Pinora Township, Precinct 11",County Treasurer,,Write-in,,9,8,1,0,9
Lake,"Pinora Township, Precinct 11",County Treasurer,,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",County Treasurer,,Under Vote Count,,86,80,6,0,86
Lake,"Pinora Township, Precinct 11",County Road Commissioner,,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",County Road Commissioner,,Jim Fri,Democrat,112,104,8,0,112
Lake,"Pinora Township, Precinct 11",County Road Commissioner,,Don Divis,Republican,327,288,39,0,327
Lake,"Pinora Township, Precinct 11",County Road Commissioner,,Write-in,,2,2,0,0,2
Lake,"Pinora Township, Precinct 11",County Road Commissioner,,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",County Road Commissioner,,Under Vote Count,,24,24,0,0,24
Lake,"Pinora Township, Precinct 11",County Surveyor,,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",County Surveyor,,Patrick Johnson,Republican,379,339,40,0,379
Lake,"Pinora Township, Precinct 11",County Surveyor,,Write-in,,6,5,1,0,6
Lake,"Pinora Township, Precinct 11",County Surveyor,,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",County Surveyor,,Under Vote Count,,80,74,6,0,80
Lake,"Pinora Township, Precinct 11",County Commissioner 3rd District,,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",County Commissioner 3rd District,,Kristine Raymond,Republican,372,333,39,0,372
Lake,"Pinora Township, Precinct 11",County Commissioner 3rd District,,Write-in,,7,6,1,0,7
Lake,"Pinora Township, Precinct 11",County Commissioner 3rd District,,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",County Commissioner 3rd District,,Under Vote Count,,86,79,7,0,86
Lake,"Pinora Township, Precinct 11",Pinora Township Supervisor,,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",Pinora Township Supervisor,,Victoria Dennett,Republican,380,341,39,0,380
Lake,"Pinora Township, Precinct 11",Pinora Township Supervisor,,Write-in,,7,6,1,0,7
Lake,"Pinora Township, Precinct 11",Pinora Township Supervisor,,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",Pinora Township Supervisor,,Under Vote Count,,78,71,7,0,78
Lake,"Pinora Township, Precinct 11",Pinora Township Clerk,,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",Pinora Township Clerk,,Ashley Visner,Republican,383,344,39,0,383
Lake,"Pinora Township, Precinct 11",Pinora Township Clerk,,Write-in,,4,3,1,0,4
Lake,"Pinora Township, Precinct 11",Pinora Township Clerk,,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",Pinora Township Clerk,,Under Vote Count,,78,71,7,0,78
Lake,"Pinora Township, Precinct 11",Pinora Township Treasurer,,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",Pinora Township Treasurer,,Don Dvoracek,Republican,387,348,39,0,387
Lake,"Pinora Township, Precinct 11",Pinora Township Treasurer,,Write-in,,5,4,1,0,5
Lake,"Pinora Township, Precinct 11",Pinora Township Treasurer,,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",Pinora Township Treasurer,,Under Vote Count,,73,66,7,0,73
Lake,"Pinora Township, Precinct 11",Pinora Township Trustee,,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",Pinora Township Trustee,,Kelly Weaver,Democrat,107,99,8,0,107
Lake,"Pinora Township, Precinct 11",Pinora Township Trustee,,Rob Visner,Republican,331,296,35,0,331
Lake,"Pinora Township, Precinct 11",Pinora Township Trustee,,Sidney G. Woods,Republican,330,297,33,0,330
Lake,"Pinora Township, Precinct 11",Pinora Township Trustee,,Write-in,,2,2,0,0,2
Lake,"Pinora Township, Precinct 11",Pinora Township Trustee,,Over Vote Count,,0,0,0,0,0
Lake,"Pinora Township, Precinct 11",Pinora Township Trustee,,Under Vote Count,,160,142,18,0,160
Lake,"Pinora Township, Precinct 11",Justice of Supreme Court,,Ballots Cast,,465,418,47,0,465
Lake,"Pinora Township, Precinct 11",Justice of Supreme Court,,Andrew Fink,,166,144,22,0,166
Lake,"Pinora Township, Precinct 11",Justice of Supreme Court,,Kimberly Ann Thomas,,157,145,12,0,157
Lake,"Pinora Township, Precinct 11",Justice of Supreme Court,,Write-in,,4,4,0,0,4
