ccounty,precinct,office,district,candidate,party,votes
Cass,Silver Creek Township,Judge of Probate Court Incumbent Position,,Carol Montavon Bealor,,394
Cass,Silver Creek Township,Judge of Probate Court Incumbent Position,,Total Unresolved Write-In,,4
Cass,Silver Creek Township,Southwestern Michigan College Board of Trustees Member,,Dwight Dyes,,330
Cass,Silver Creek Township,Southwestern Michigan College Board of Trustees Member,,Elaine Foster,,377
Cass,Silver Creek Township,Southwestern Michigan College Board of Trustees Member,,Total Unresolved Write-In,,4
Cass,Silver Creek Township,Dowagiac Union Schools Board Member 4 Year Term,,Christina Carpenter,,337
Cass,Silver Creek Township,Dowagiac Union Schools Board Member 4 Year Term,,Tracey Hatcher,,334
Cass,Silver Creek Township,Dowagiac Union Schools Board Member 4 Year Term,,Dominique Hood-Charles,,292
Cass,Silver Creek Township,Dowagiac Union Schools Board Member 4 Year Term,,Randi Taggart,,354
Cass,Silver Creek Township,Dowagiac Union Schools Board Member 4 Year Term,,Unresolved Write-In,,2
Cass,Silver Creek Township,Dowagiac Union Schools Board Member Partial Term Ending 12/31/2026,,Jeff de Varona,,366
Cass,Silver Creek Township,Dowagiac Union Schools Board Member Partial Term Ending 12/31/2026,,Unresolved Write-In,,6
Cass,Silver Creek Township,Eau Claire Public Schools Board Member 6 Year Term,,Chris Peters,,13
Cass,Silver Creek Township,Eau Claire Public Schools Board Member 6 Year Term,,Unresolved Write-In,,0
Cass,Silver Creek Township,Eau Claire Public Schools Board Member 4 Year Term,,Total Unresolved Write-In,,2
Cass,Silver Creek Township,Eau Claire Public Schools Board Partial Term Ending 12/31/2028,,Total Unresolved Write-In,,2
Cass,Silver Creek Township,Eau Claire Public Schools Board Partial Term Ending 12/31/2026,,Unresolved Write-In,,2
Cass,"Volinia Township, Precinct 1",Registered Voters,,,,805
Cass,"Volinia Township, Precinct 1",Ballots Cast,,,,563
Cass,"Volinia Township, Precinct 1",Straight Party Ticket,,Democratic Party,DEM,77
Cass,"Volinia Township, Precinct 1",Straight Party Ticket,,Republican Party,REP,226
Cass,"Volinia Township, Precinct 1",Straight Party Ticket,,Libertarian Party,LIB,0
Cass,"Volinia Township, Precinct 1",Straight Party Ticket,,U.S. Taxpayers Party,UST,1
Cass,"Volinia Township, Precinct 1",Straight Party Ticket,,Green Party,GRN,0
Cass,"Volinia Township, Precinct 1",Straight Party Ticket,,Working Class Party,WCP,4
Cass,"Volinia Township, Precinct 1",Straight Party Ticket,,Natural Law Party,NLP,1
Cass,"Volinia Township, Precinct 1",Straight Party Ticket,,Unresolved Write-In,,0
Cass,"Volinia Township, Precinct 1",President,,Kamala D. Harris/Tim Walz,DEM,164
Cass,"Volinia Township, Precinct 1",President,,Donald J. Trump/JD Vance,REP,393
Cass,"Volinia Township, Precinct 1",President,,Chase Oliver/Mike ter Maat,LIB,0
Cass,"Volinia Township, Precinct 1",President,,Randall Terry/Stephen E. Broden,UST,1
Cass,"Volinia Township, Precinct 1",President,,Jill Stein/Rudolph Ware,GRN,2
Cass,"Volinia Township, Precinct 1",President,,"Robert F. Kennedy, Jr./Nicole Shanahan",NLP,2
Cass,"Volinia Township, Precinct 1",President,,Joseph Kishore/Jerry White,NPA,0
Cass,"Volinia Township, Precinct 1",President,,Cornel West/Melina Abdullah,NPA,0
Cass,"Volinia Township, Precinct 1",President,,Peter Sonski,WRITE-IN,0
Cass,"Volinia Township, Precinct 1",President,,Unresolved Write-In,,1
Cass,"Volinia Township, Precinct 1",United States Senator,,Elissa Slotkin,DEM,157
Cass,"Volinia Township, Precinct 1",United States Senator,,Mike Rogers,REP,382
Cass,"Volinia Township, Precinct 1",United States Senator,,Joseph Solis-Mullen,LIB,8
Cass,"Volinia Township, Precinct 1",United States Senator,,Dave Stein,UST,3
Cass,"Volinia Township, Precinct 1",United States Senator,,Douglas P. Marsh,GRN,3
Cass,"Volinia Township, Precinct 1",United States Senator,,Doug Dern,NLP,3
Cass,"Volinia Township, Precinct 1",United States Senator,,Unresolved Write-In,,0
Cass,"Volinia Township, Precinct 1",U.S. House,5,Libbi Urban,DEM,152
Cass,"Volinia Township, Precinct 1",U.S. House,5,Tim Walberg,REP,395
Cass,"Volinia Township, Precinct 1",U.S. House,5,James Bronke,GRN,6
Cass,"Volinia Township, Precinct 1",U.S. House,5,Unresolved Write-In,,1
Cass,"Volinia Township, Precinct 1",State House,36,Erin L. Schultes,DEM,157
Cass,"Volinia Township, Precinct 1",State House,36,Steve Carra,REP,387
Cass,"Volinia Township, Precinct 1",State House,36,Unresolved Write-In,,2
Cass,"Volinia Township, Precinct 1",Member of the State Board of Education,,Theodore Jones,DEM,138
Cass,"Volinia Township, Precinct 1",Member of the State Board of Education,,Adam Frederick Zemke,DEM,128
Cass,"Volinia Township, Precinct 1",Member of the State Board of Education,,Tom McMillin,REP,344
Cass,"Volinia Township, Precinct 1",Member of the State Board of Education,,Nikki Snyder,REP,353
Cass,"Volinia Township, Precinct 1",Member of the State Board of Education,,Scotty Boman,LIB,14
Cass,"Volinia Township, Precinct 1",Member of the State Board of Education,,Ted Gerrard,UST,8
Cass,"Volinia Township, Precinct 1",Member of the State Board of Education,,Christine C. Schwartz,UST,10
Cass,"Volinia Township, Precinct 1",Member of the State Board of Education,,Mary Anne Hering,WCP,28
Cass,"Volinia Township, Precinct 1",Member of the State Board of Education,,Unresolved Write-In,,4
Cass,"Volinia Township, Precinct 1",Regent of the University of Michigan,,Denise llitch,DEM,145
Cass,"Volinia Township, Precinct 1",Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,135
Cass,"Volinia Township, Precinct 1",Regent of the University of Michigan,,Carl Meyers,REP,366
Cass,"Volinia Township, Precinct 1",Regent of the University of Michigan,,Sevag Vartanian,REP,314
Cass,"Volinia Township, Precinct 1",Regent of the University of Michigan,,Andrew Chadderdon,LIB,17
Cass,"Volinia Township, Precinct 1",Regent of the University of Michigan,,Donna M. Oetman,UST,23
Cass,"Volinia Township, Precinct 1",Regent of the University of Michigan,,Huwaida Arraf,WRITE-IN,0
Cass,"Volinia Township, Precinct 1",Regent of the University of Michigan,,Unresolved Write-In,,4
Cass,"Volinia Township, Precinct 1",Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,137
Cass,"Volinia Township, Precinct 1",Trustee of Michigan State University,,Thomas Stallworth III,DEM,126
Cass,"Volinia Township, Precinct 1",Trustee of Michigan State University,,Mike Balow,REP,353
Cass,"Volinia Township, Precinct 1",Trustee of Michigan State University,,Julie Maday,REP,338
Cass,"Volinia Township, Precinct 1",Trustee of Michigan State University,,Grant T. Baker,LIB,14
Cass,"Volinia Township, Precinct 1",Trustee of Michigan State University,,Janet M. Sanger,UST,16
Cass,"Volinia Township, Precinct 1",Trustee of Michigan State University,,John Paul Sanger,UST,9
Cass,"Volinia Township, Precinct 1",Trustee of Michigan State University,,John Anthony La Pietra,GRN,3
Cass,"Volinia Township, Precinct 1",Trustee of Michigan State University,,Unresolved Write-In,,5
Cass,"Volinia Township, Precinct 1",Governor of Wayne State University,,Rasha Demashkieh,DEM,127
Cass,"Volinia Township, Precinct 1",Governor of Wayne State University,,Mark T. Gaffney,DEM,133
Cass,"Volinia Township, Precinct 1",Governor of Wayne State University,,Michael Busuito,REP,341
Cass,"Volinia Township, Precinct 1",Governor of Wayne State University,,Sunny Reddy,REP,337
Cass,"Volinia Township, Precinct 1",Governor of Wayne State University,,Farid Ishac,LIB,6
Cass,"Volinia Township, Precinct 1",Governor of Wayne State University,,William Mohr II,UST,8
Cass,"Volinia Township, Precinct 1",Governor of Wayne State University,,Sami Makhoul,GRN,3
Cass,"Volinia Township, Precinct 1",Governor of Wayne State University,,Suzanne Roehrig,WCP,25
Cass,"Volinia Township, Precinct 1",Governor of Wayne State University,,Kathleen Oakford,NLP,4
Cass,"Volinia Township, Precinct 1",Governor of Wayne State University,,Unresolved Write-In,,5
Cass,"Volinia Township, Precinct 1",County Prosecuting Attorney,,Victor Fitz,REP,435
Cass,"Volinia Township, Precinct 1",County Prosecuting Attorney,,Unresolved Write-In,,10
Cass,"Volinia Township, Precinct 1",County Sheriff,,Clint Roach,REP,440
Cass,"Volinia Township, Precinct 1",County Sheriff,,Unresolved Write-In,,7
Cass,"Volinia Township, Precinct 1",County Clerk and Register of Deeds,,Monica McMichael,REP,450
Cass,"Volinia Township, Precinct 1",County Clerk and Register of Deeds,,Unresolved Write-In,,5
Cass,"Volinia Township, Precinct 1",County Treasurer,,Hope Anderson,REP,445
Cass,"Volinia Township, Precinct 1",County Treasurer,,Total Unresolved Write-In,,6
Cass,"Volinia Township, Precinct 1",County Drain Commissioner,,Jeff VanBelle,REP,439
Cass,"Volinia Township, Precinct 1",County Drain Commissioner,,Unresolved Write-In,,6
Cass,"Volinia Township, Precinct 1",County Surveyor,,Thomas A. Stephenson,NPA,328
Cass,"Volinia Township, Precinct 1",County Surveyor,,Unresolved Write-In,,6
Cass,"Volinia Township, Precinct 1",County Commissioner 3rd District,,Alan Northrop,REP,438
Cass,"Volinia Township, Precinct 1",County Commissioner 3rd District,,Unresolved Write-In,,8
Cass,"Volinia Township, Precinct 1",Volinia Township Supervisor,,Chris Brooks,REP,443
Cass,"Volinia Township, Precinct 1",Volinia Township Supervisor,,Total Unresolved Write-In,,6
Cass,"Volinia Township, Precinct 1",Volinia Township Clerk,,Annette Peters,REP,459
Cass,"Volinia Township, Precinct 1",Volinia Township Clerk,,Unresolved Write-In,,4
Cass,"Volinia Township, Precinct 1",Volinia Township Treasurer,,Alex Williams,DEM,296
Cass,"Volinia Township, Precinct 1",Volinia Township Treasurer,,Unresolved Write-In,,49
Cass,"Volinia Township, Precinct 1",Volinia Township Trustee,,Dennis J. Grice,REP,399
Cass,"Volinia Township, Precinct 1",Volinia Township Trustee,,Nicholas Seelye,REP,391
Cass,"Volinia Township, Precinct 1",Volinia Township Trustee,,Unresolved Write-In,,9
Cass,"Volinia Township, Precinct 1",Justice of Supreme Court 8 Year Term,,Andrew Fink,,231
Cass,"Volinia Township, Precinct 1",Justice of Supreme Court 8 Year Term,,Kimberly Ann Thomas,,210
Cass,"Volinia Township, Precinct 1",Justice of Supreme Court 8 Year Term,,Total Unresolved Write-In,,11
Cass,"Volinia Township, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,195
Cass,"Volinia Township, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Patrick William O'Grady,,242
Cass,"Volinia Township, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Unresolved Write-In,,11
Cass,"Volinia Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Philip P. Mariani,,269
Cass,"Volinia Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Christopher P. Yates,,285
Cass,"Volinia Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Unresolved Write-In,,17
Cass,"Volinia Township, Precinct 1",Judge of Probate Court Incumbent Position,,Carol Montavon Bealor,,331
Cass,"Volinia Township, Precinct 1",Judge of Probate Court Incumbent Position,,Total Unresolved Write-In,,22
Cass,"Volinia Township, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Dwight Dyes,,285
Cass,"Volinia Township, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Elaine Foster,,282
Cass,"Volinia Township, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Total Unresolved Write-In,,17
Cass,"Volinia Township, Precinct 1",Decatur Public Schools Board Member,,Shannon Sikkema Allen,,14
Cass,"Volinia Township, Precinct 1",Decatur Public Schools Board Member,,Tyler Augst,,28
Cass,"Volinia Township, Precinct 1",Decatur Public Schools Board Member,,Josh Docekal,,20
Cass,"Volinia Township, Precinct 1",Decatur Public Schools Board Member,,Elizabeth Leffler,,35
Cass,"Volinia Township, Precinct 1",Decatur Public Schools Board Member,,Katherine Northrup,,43
Cass,"Volinia Township, Precinct 1",Decatur Public Schools Board Member,,Amy Rose,,23
Cass,"Volinia Township, Precinct 1",Decatur Public Schools Board Member,,Miranda West,,14
Cass,"Volinia Township, Precinct 1",Decatur Public Schools Board Member,,Unresolved Write-In,,3
Cass,"Volinia Township, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Christina Carpenter,,4
Cass,"Volinia Township, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Tracey Hatcher,,3
Cass,"Volinia Township, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Dominique Hood-Charles,,3
Cass,"Volinia Township, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Randi Taggart,,4
Cass,"Volinia Township, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Unresolved Write-In,,0
Cass,"Volinia Township, Precinct 1",Dowagiac Union Schools Board Member Partial Term Ending 12/31/2026,,Jeff de Varona,,5
Cass,"Volinia Township, Precinct 1",Dowagiac Union Schools Board Member Partial Term Ending 12/31/2026,,Unresolved Write-In,,0
Cass,"Volinia Township, Precinct 1",Marcellus Community Schools Board Member,,Matt Asmus,,256
Cass,"Volinia Township, Precinct 1",Marcellus Community Schools Board Member,,Emily Good,,226
Cass,"Volinia Township, Precinct 1",Marcellus Community Schools Board Member,,Vicki Welburn-Essex,,245
Cass,"Volinia Township, Precinct 1",Marcellus Community Schools Board Member,,Unresolved Write-In,,15
Cass,"Volinia Township, Precinct 1",Volinia Township Headlee Override Ballot Proposal for the General Operating Fund,,Yes,,214
Cass,"Volinia Township, Precinct 1",Volinia Township Headlee Override Ballot Proposal for the General Operating Fund,,No,,267
Cass,"Volinia Township, Precinct 1",Volinia Township Headlee Override Ballot Proposal for the General Operating Fund,,Unresolved Write-In,,0
Cass,"Wayne Township, Precinct 1",Registered Voters,,,,1824
Cass,"Wayne Township, Precinct 1",Ballots Cast,,,,1026
Cass,"Wayne Township, Precinct 1",Straight Party Ticket,,Democratic Party,DEM,213
Cass,"Wayne Township, Precinct 1",Straight Party Ticket,,Republican Party,REP,393
Cass,"Wayne Township, Precinct 1",Straight Party Ticket,,Libertarian Party,LIB,1
Cass,"Wayne Township, Precinct 1",Straight Party Ticket,,U.S. Taxpayers Party,UST,2
Cass,"Wayne Township, Precinct 1",Straight Party Ticket,,Green Party,GRN,1
Cass,"Wayne Township, Precinct 1",Straight Party Ticket,,Working Class Party,WCP,13
Cass,"Wayne Township, Precinct 1",Straight Party Ticket,,Natural Law Party,NLP,2
Cass,"Wayne Township, Precinct 1",Straight Party Ticket,,Unresolved Write-In,,0
Cass,"Wayne Township, Precinct 1",President,,Kamala D. Harris/Tim Walz,DEM,361
Cass,"Wayne Township, Precinct 1",President,,Donald J. Trump/JD Vance,REP,648
Cass,"Wayne Township, Precinct 1",President,,Chase Oliver/Mike ter Maat,LIB,6
Cass,"Wayne Township, Precinct 1",President,,Randall Terry/Stephen E. Broden,UST,0
Cass,"Wayne Township, Precinct 1",President,,Jill Stein/Rudolph Ware,GRN,2
Cass,"Wayne Township, Precinct 1",President,,"Robert F. Kennedy, Jr./Nicole Shanahan",NLP,3
Cass,"Wayne Township, Precinct 1",President,,Joseph Kishore/Jerry White,NPA,1
Cass,"Wayne Township, Precinct 1",President,,Cornel West/Melina Abdullah,NPA,1
Cass,"Wayne Township, Precinct 1",President,,Peter Sonski,WRITE-IN,0
Cass,"Wayne Township, Precinct 1",President,,Unresolved Write-In,,0
Cass,"Wayne Township, Precinct 1",United States Senator,,Elissa Slotkin,DEM,347
Cass,"Wayne Township, Precinct 1",United States Senator,,Mike Rogers,REP,613
Cass,"Wayne Township, Precinct 1",United States Senator,,Joseph Solis-Mullen,LIB,14
Cass,"Wayne Township, Precinct 1",United States Senator,,Dave Stein,UST,18
Cass,"Wayne Township, Precinct 1",United States Senator,,Douglas P. Marsh,GRN,6
Cass,"Wayne Township, Precinct 1",United States Senator,,Doug Dern,NLP,2
Cass,"Wayne Township, Precinct 1",United States Senator,,Unresolved Write-In,,0
Cass,"Wayne Township, Precinct 1",U.S. House,5,Libbi Urban,DEM,343
Cass,"Wayne Township, Precinct 1",U.S. House,5,Tim Walberg,REP,630
Cass,"Wayne Township, Precinct 1",U.S. House,5,James Bronke,GRN,21
Cass,"Wayne Township, Precinct 1",U.S. House,5,Unresolved Write-In,,0
Cass,"Wayne Township, Precinct 1",State House,37,Angela Jones,DEM,340
